City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,18.53,91,76,2.22,AU,1736703449
1,grytviken,-54.2811,-36.5092,8.19,64,81,7.32,GS,1736703450
2,isafjordur,66.0755,-23.124,3.02,93,100,1.54,IS,1736703451
3,shimoda,34.6667,138.95,5.47,71,100,3.34,JP,1736703452
4,ilulissat,69.2167,-51.1,-31.55,98,83,2.91,GL,1736703453
5,la passe,45.5549,-0.8967,3.13,77,25,4.86,FR,1736703455
6,aasiaat,68.7098,-52.8699,-24.35,99,100,1.38,GL,1736703456
7,lewistown,40.5992,-77.5714,0.66,85,0,3.09,US,1736703269
8,mount gambier,-37.8333,140.7667,14.06,99,40,1.8,AU,1736703459
9,tazovsky,67.4667,78.7,-14.15,86,100,6.43,RU,1736703460
10,sisak,45.4661,16.3783,0.89,72,15,4.29,HR,1736703461
11,laguna de perlas,12.3429,-83.6712,27.62,75,86,3.95,NI,1736703462
12,bethel,41.3712,-73.414,2.91,59,0,4.12,US,1736703463
13,edinburgh of the seven seas,-37.0676,-12.3116,18.5,95,100,8.94,SH,1736703464
14,aykhal,66.0,111.5,-34.38,100,93,2.9,RU,1736703465
15,hinton,53.4001,-117.5857,-5.55,85,72,3.12,CA,1736703466
16,constantia,44.1833,28.65,1.38,74,100,3.96,RO,1736703468
17,chibougamau,49.9168,-74.3659,-11.21,92,100,2.57,CA,1736703239
18,ushuaia,-54.8,-68.3,8.81,81,100,17.49,AR,1736703470
19,papatowai,-46.5619,169.4708,9.06,88,81,3.29,NZ,1736703471
20,adamstown,-25.066,-130.1015,24.55,81,1,4.33,PN,1736703472
21,okha,53.5739,142.9478,-24.88,100,87,2.26,RU,1736703473
22,borger,52.9233,6.7931,0.4,88,6,1.66,NL,1736703474
23,mongo,12.1844,18.693,25.24,19,4,2.88,TD,1736703475
24,port-aux-francais,-49.35,70.2167,6.72,94,100,21.37,TF,1736703477
25,keflavik,64.0049,-22.5624,5.24,100,100,3.09,IS,1736703478
26,tonkino,57.3726,46.4629,0.09,99,100,2.07,RU,1736703479
27,ancud,-41.8697,-73.8203,15.64,78,80,5.54,CL,1736703434
28,enewetak,11.3474,162.3373,27.45,78,25,10.61,MH,1736703481
29,fort st. john,56.2499,-120.8529,-1.06,69,75,3.09,CA,1736703482
30,codrington,-38.2667,141.9667,15.5,97,72,2.16,AU,1736703483
31,georgetown,5.4112,100.3354,23.94,77,20,5.36,MY,1736703325
32,ivdel',60.6911,60.4206,-2.45,87,96,2.06,RU,1736703485
33,albany,42.6001,-73.9662,1.02,64,28,1.34,US,1736703487
34,lincheng,19.9078,109.6858,12.37,64,34,3.2,CN,1736703488
35,bilibino,68.0546,166.4372,-27.67,98,100,1.55,RU,1736703489
36,arish,31.1316,33.7984,16.1,77,0,3.6,EG,1736703490
37,punta arenas,-53.15,-70.9167,12.06,62,75,21.09,CL,1736703491
38,ribeira grande,38.5167,-28.7,19.22,88,75,6.17,PT,1736703492
39,puerto natales,-51.7236,-72.4875,10.25,66,75,10.8,CL,1736703494
40,urengoy,65.9667,78.3667,-15.13,89,100,6.49,RU,1736703495
41,kodiak,57.79,-152.4072,6.73,81,100,10.8,US,1736703496
42,vorgashor,67.5833,63.95,-9.91,95,100,4.38,RU,1736703497
43,port mathurin,-19.6833,63.4167,25.93,79,9,7.56,MU,1736703498
44,saint-joseph,-21.3667,55.6167,27.21,78,40,2.58,RE,1736703499
45,formosa do rio preto,-11.0483,-45.1931,26.02,87,100,3.42,BR,1736703500
46,guarapari,-20.6667,-40.4975,25.61,74,17,3.75,BR,1736703501
47,newman,37.3138,-121.0208,8.35,58,0,2.24,US,1736703349
48,piti village,13.4626,144.6933,26.84,81,100,5.14,GU,1736703282
49,utrik,11.2278,169.8474,26.34,77,13,10.3,MH,1736703505
50,new norfolk,-42.7826,147.0587,17.62,99,79,0.34,AU,1736703506
51,priargunsk,50.3691,119.1012,-23.53,100,100,0.68,RU,1736703507
52,opuwo,-18.0607,13.84,28.74,28,73,5.94,NA,1736703508
53,port alberni,49.2413,-124.8028,2.11,88,85,1.34,CA,1736703289
54,northam,51.0333,-4.2167,6.0,80,93,0.89,GB,1736703511
55,blackmans bay,-43.0167,147.3167,15.76,95,77,0.45,AU,1736703512
56,palmer,42.1584,-72.3287,2.94,53,0,2.06,US,1736703372
57,puerto ayora,-0.7393,-90.3518,25.31,96,57,1.34,EC,1736703514
58,hawaiian paradise park,19.5933,-154.9731,18.79,99,75,3.09,US,1736703515
59,kill devil hills,36.0307,-75.676,3.25,61,0,4.63,US,1736703516
60,ulsteinvik,62.3432,5.8487,3.5,75,88,6.41,NO,1736703518
61,yellowknife,62.456,-114.3525,-18.71,95,100,7.6,CA,1736703519
62,mossel bay,-34.1831,22.146,16.96,80,100,8.92,ZA,1736703520
63,plastun,44.7561,136.2939,-12.83,80,6,2.93,RU,1736703521
64,chanderi,24.7167,78.1333,12.58,61,0,1.91,IN,1736703522
65,waitangi,-43.9535,-176.5597,11.01,99,100,2.68,NZ,1736703524
66,luderitz,-26.6481,15.1594,20.82,66,0,12.15,NA,1736703525
67,isiklar,36.9942,40.1264,8.81,69,7,2.71,TR,1736703526
68,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,43,0,3.0,RU,1736703527
69,praia da vitoria,38.7333,-27.0667,20.14,73,20,4.76,PT,1736703529
70,lebu,-37.6167,-73.65,19.42,68,4,7.07,CL,1736703530
71,yantzaza,-3.8278,-78.7594,27.91,65,88,1.53,EC,1736703531
72,tommot,58.9564,126.2925,-23.22,99,100,0.48,RU,1736703532
73,mandan,46.8267,-100.8896,-16.47,72,0,7.72,US,1736703172
74,geraldton,-28.7667,114.6,19.23,82,20,4.12,AU,1736703534
75,mejit,10.2753,170.8646,26.7,80,18,9.81,MH,1736703535
76,carutapera,-1.195,-46.02,26.85,90,35,3.34,BR,1736703537
77,roma,43.2128,-75.4557,-0.31,83,100,0.89,US,1736703538
78,trebinje,42.7119,18.3442,7.2,23,0,12.35,BA,1736703540
79,ventspils,57.3894,21.5606,-0.04,59,0,6.17,LV,1736703541
80,sao joao da barra,-21.6403,-41.0511,27.05,76,45,6.25,BR,1736703542
81,santiago de cuba,20.0247,-75.8219,29.06,58,20,3.09,CU,1736703544
82,tutoia,-2.7619,-42.2744,28.74,70,47,4.05,BR,1736703545
83,wailua homesteads,22.0669,-159.378,22.44,73,40,7.72,US,1736703546
84,kalmunai,7.4167,81.8167,25.3,85,79,3.15,LK,1736703547
85,ciudad sabinas hidalgo,26.5,-100.1667,17.82,35,100,4.48,MX,1736703548
86,badger,64.8,-147.5333,4.85,59,0,7.72,US,1736703549
87,papao,-17.75,-149.55,25.82,83,100,11.26,PF,1736703550
88,tofol,5.3248,163.0078,28.39,71,96,9.9,FM,1736703551
89,ust-nera,64.5667,143.2,-36.96,99,94,1.93,RU,1736703553
90,west island,-12.1568,96.8225,26.99,78,20,3.6,CC,1736703554
91,saldanha,-33.0117,17.9442,22.03,79,27,10.85,ZA,1736703555
92,iqaluit,63.7506,-68.5145,-17.95,77,20,2.06,CA,1736703469
93,loch garman,52.3342,-6.4575,10.5,100,99,5.36,IE,1736703558
94,holualoa,19.6228,-155.9522,17.53,82,0,2.06,US,1736703362
95,rehoboth,-23.3167,17.0833,30.52,15,39,9.42,NA,1736703560
96,taulaga,-11.0553,-171.0883,27.1,82,100,6.26,AS,1736703561
97,san luis de la loma,17.2706,-100.8939,25.44,70,100,2.23,MX,1736703562
98,el ocotito,17.25,-99.5667,21.64,81,100,2.36,MX,1736703563
99,jamestown,42.097,-79.2353,-1.52,82,100,4.12,US,1736703564
100,tapes,-30.6733,-51.3958,25.26,51,42,4.48,BR,1736703565
101,ghadamis,30.1337,9.5007,13.97,42,6,4.05,LY,1736703567
102,san jose del guaviare,2.5729,-72.6459,33.18,36,93,3.12,CO,1736703568
103,college,64.8569,-147.8028,4.1,64,100,7.72,US,1736703569
104,tsetserleg,47.475,101.4542,-16.06,67,18,3.2,MN,1736703570
105,trinidad,-14.8333,-64.9,25.99,94,75,2.57,BO,1736703571
106,st. john's,47.5649,-52.7093,-0.04,85,75,7.15,CA,1736703292
107,bayanhongor,46.7167,100.1167,-28.67,88,43,1.33,MN,1736703573
108,colonia menno,-22.3667,-59.8167,40.04,15,23,4.6,PY,1736703574
109,kharan,28.5833,65.4167,13.76,26,100,2.59,PK,1736703575
110,stanley,54.868,-1.6985,0.17,95,0,2.06,GB,1736703577
111,mananjary,-21.2167,48.3333,26.77,79,99,3.66,MG,1736703578
112,hamilton,39.1834,-84.5333,1.97,72,0,5.14,US,1736702831
113,winnemucca,40.973,-117.7357,-4.97,74,75,0.0,US,1736703580
114,avarua,-21.2078,-159.775,24.03,83,20,2.57,CK,1736703581
115,tchintabaraden,15.8969,5.7985,22.51,14,97,4.96,NE,1736703582
116,cill airne,52.05,-9.5167,13.03,88,40,8.75,IE,1736703583
117,port blair,11.6667,92.75,26.07,73,44,6.15,IN,1736703407
118,hadibu,12.65,54.0333,23.17,65,50,5.22,YE,1736703586
119,hermanus,-34.4187,19.2345,18.78,70,100,7.9,ZA,1736703587
120,pionerskiy,54.9508,20.2275,0.91,74,99,11.86,RU,1736703588
121,zilair,52.2332,57.4392,-14.16,85,43,2.03,RU,1736703590
122,navapolatsk,55.5363,28.6424,-2.87,91,100,0.74,BY,1736703591
123,kaga bandoro,6.9896,19.1874,28.28,18,3,1.9,CF,1736703592
124,aroma,15.8167,36.1333,23.69,49,9,8.48,SD,1736703593
125,iskateley,67.6803,53.1512,-11.5,85,27,6.72,RU,1736703594
126,uliastay,47.7417,96.8444,-19.46,92,100,1.97,MN,1736703595
127,rongelap,11.1635,166.8941,26.89,70,84,10.6,MH,1736703596
128,port saint john's,-31.6229,29.5448,21.79,91,99,5.41,ZA,1736703597
129,olonkinbyen,70.9221,-8.7187,-1.72,99,100,6.44,SJ,1736703599
130,mata-utu,-13.2816,-176.1745,27.52,73,79,3.82,WF,1736703600
131,guisa,20.255,-76.5386,28.83,52,1,2.55,CU,1736703601
132,salalah,17.0151,54.0924,24.05,57,20,1.03,OM,1736703602
133,tsiombe,-25.3,45.4833,27.22,74,0,2.24,MG,1736703604
134,tiksi,71.6872,128.8694,-33.15,100,97,0.54,RU,1736703605
135,tabuk,17.4189,121.4443,19.63,88,100,2.77,PH,1736703606
136,mucumpiz,8.4167,-71.1333,22.77,32,30,3.16,VE,1736703458
137,perth,-31.9333,115.8333,21.64,88,75,4.12,AU,1736703314
138,afaahiti,-17.75,-149.2833,25.77,81,100,10.39,PF,1736703609
139,yilan,24.757,121.753,8.42,68,2,1.83,TW,1736703610
140,lagoa,39.05,-27.9833,16.97,80,98,2.89,PT,1736703612
141,port elizabeth,-33.918,25.5701,19.06,75,100,4.12,ZA,1736703330
142,long beach,33.767,-118.1892,16.6,24,0,6.17,US,1736703614
143,sumberpucung,-8.1586,112.4829,22.48,96,100,1.42,ID,1736703615
144,lihue,21.9789,-159.3672,22.77,73,40,7.72,US,1736703616
145,uturoa,-16.7333,-151.4333,27.75,78,100,10.05,PF,1736703617
146,port alfred,-33.5906,26.891,19.54,82,100,1.34,ZA,1736703618
147,velyka dymerka,50.5918,30.9011,0.97,90,97,1.94,UA,1736703619
148,peniche,39.3558,-9.3811,15.51,86,92,5.69,PT,1736703620
149,toliara,-23.35,43.6667,28.65,82,1,3.47,MG,1736703622
150,hjo,58.3013,14.2878,-6.66,91,71,2.03,SE,1736703623
151,arteche,12.2645,125.4048,25.47,92,100,5.44,PH,1736703624
152,ciutadella,40.0011,3.8414,8.92,66,52,8.49,ES,1736703625
153,barra de santo antonio,-9.4047,-35.5072,24.67,86,100,3.93,BR,1736703626
154,kargasok,59.0556,80.8572,-23.42,100,78,1.73,RU,1736703627
155,fortuna,40.5982,-124.1573,2.51,100,100,2.06,US,1736703629
156,lompoc,34.6391,-120.4579,12.44,60,0,4.12,US,1736703125
157,canutama,-6.5339,-64.3831,30.3,65,100,1.6,BR,1736703631
158,ski,59.7195,10.8358,-13.45,93,12,1.31,NO,1736703632
159,aylsham,52.7951,1.2518,2.8,86,75,1.54,GB,1736703633
160,viedma,-40.8135,-62.9967,39.68,14,50,9.27,AR,1736703418
161,longyearbyen,78.2186,15.6401,-9.09,62,20,10.29,SJ,1736703636
162,lorengau,-2.0226,147.2712,27.77,80,86,3.9,PG,1736703637
163,kingston,17.997,-76.7936,30.53,66,75,7.2,JM,1736703384
164,slavyanka,42.8633,131.3847,-8.22,55,3,1.76,RU,1736703640
165,la'ie,21.6477,-157.9253,22.81,83,7,1.34,US,1736703642
166,aripuana,-9.1667,-60.6333,32.19,59,71,1.55,BR,1736703643
167,port augusta,-32.5,137.7667,24.24,47,2,2.13,AU,1736703644
168,kuala terengganu,5.3302,103.1408,26.97,69,40,6.26,MY,1736703646
169,jiuquan,39.7432,98.5174,-7.63,57,17,1.61,CN,1736703647
170,yuzhno-kurilsk,44.0306,145.8556,-4.94,78,60,1.51,RU,1736703648
171,kourou,5.1552,-52.6478,28.71,63,82,3.99,GF,1736703649
172,ketchikan,55.3422,-131.6461,4.65,95,100,2.06,US,1736703650
173,odda,60.0691,6.5457,-7.09,98,63,2.26,NO,1736703651
174,klyuchi,52.2667,79.1667,-17.39,100,83,1.35,RU,1736703653
175,ajdabiya,30.7554,20.2263,16.91,36,0,4.84,LY,1736703654
176,vorkuta,67.5,64.0,-10.1,96,100,3.99,RU,1736703655
177,ciudad bolivar,8.1222,-63.5497,34.16,38,70,5.37,VE,1736703656
178,tamandare,-8.7597,-35.1047,25.1,84,100,2.31,BR,1736703657
179,invercargill,-46.4,168.35,6.68,93,79,0.45,NZ,1736703658
180,aitape,-3.1374,142.3475,25.31,90,100,1.61,PG,1736703660
181,mili,6.0815,171.735,27.62,77,39,10.24,MH,1736703661
182,dudinka,69.4058,86.1778,-23.02,95,100,7.84,RU,1736703662
183,atafu village,-8.5421,-172.5159,28.21,74,97,7.96,TK,1736703663
184,maintirano,-18.0667,44.0167,28.2,73,99,4.42,MG,1736703665
185,polyarnyy,69.1989,33.4478,-7.56,82,93,9.35,RU,1736703666
186,midvagur,62.0511,-7.1939,8.46,93,100,11.83,FO,1736703667
187,banamba,13.55,-7.45,25.08,16,98,3.07,ML,1736703668
188,cooma,-36.2333,149.1333,12.1,95,95,1.36,AU,1736703669
189,mugia,43.1041,-9.2179,12.73,78,83,5.74,ES,1736703670
190,bijar,35.8668,47.6051,-1.68,79,42,3.08,IR,1736703671
191,pisco,-13.7,-76.2167,22.03,78,0,4.63,PE,1736703672
192,brandon,27.9378,-82.2859,14.64,57,0,1.79,US,1736703396
193,la ronge,55.1001,-105.2842,-25.86,70,0,3.09,CA,1736703675
194,longquan,24.6719,102.1613,5.58,91,10,1.7,CN,1736703676
195,nadi,-17.8,177.4167,21.0,83,20,2.57,FJ,1736703677
196,port douglas,-16.4833,145.4667,27.0,76,75,1.38,AU,1736703678
197,bandarbeyla,9.4942,50.8122,23.25,66,7,7.2,SO,1736703679
198,port lincoln,-34.7333,135.8667,18.4,85,23,3.83,AU,1736703681
199,istgah-e rah ahan-e garmsar,35.2346,52.3094,9.28,45,100,1.67,IR,1736703682
200,redencao,-4.2258,-38.7306,31.93,48,71,4.2,BR,1736703683
201,ambon,-3.6954,128.1814,26.6,95,40,1.54,ID,1736703684
202,naze,28.3667,129.4833,10.51,48,96,7.1,JP,1736703685
203,kiunga,-6.1219,141.2906,23.28,100,100,1.38,PG,1736703686
204,qaqortoq,60.7167,-46.0333,-1.16,95,100,1.09,GL,1736703688
205,gadzhiyevo,69.2551,33.3362,-7.58,82,89,10.02,RU,1736703689
206,monticello,45.3055,-93.7941,-7.48,84,100,7.2,US,1736703413
207,freetown,8.484,-13.2299,27.7,55,100,3.57,SL,1736703691
208,sharm el-sheikh,27.8518,34.305,20.08,52,0,3.09,EG,1736703692
209,nikolayevsk-on-amure,53.1406,140.73,-25.26,99,84,1.47,RU,1736703693
210,gbarnga,6.9956,-9.4722,31.41,29,54,1.07,LR,1736703694
211,grand falls-windsor,48.9332,-55.6649,-2.5,80,71,1.34,CA,1736703635
212,benghazi,32.1167,20.0667,17.43,60,2,6.5,LY,1736703697
213,chonchi,-42.6128,-73.8092,20.07,52,90,4.19,CL,1736703698
214,kavaratti,10.5669,72.642,27.36,74,12,3.93,IN,1736703700
215,jaumave,23.4167,-99.3833,27.2,32,89,6.14,MX,1736703701
216,kasimov,54.9411,41.3953,-1.87,91,100,3.85,RU,1736703702
217,manggar,-2.8833,108.2667,25.64,88,100,1.71,ID,1736703703
218,san antonio de pale,-1.4014,5.6325,26.17,80,100,3.57,GQ,1736703704
219,mosjoen,65.836,13.1908,1.29,93,40,2.68,NO,1736703705
220,puerto colombia,10.9878,-74.9547,32.05,66,12,8.51,CO,1736703707
221,ishinomaki,38.4167,141.3,3.83,89,100,4.05,JP,1736703708
222,alice springs,-23.7,133.8833,25.75,38,98,2.06,AU,1736703709
223,chipinge,-20.1883,32.6236,21.53,67,88,1.63,ZW,1736703710
224,banda aceh,5.5577,95.3222,24.69,93,100,5.12,ID,1736703692
225,borgarnes,64.5383,-21.9206,2.79,100,100,1.52,IS,1736703713
226,ghat,24.9647,10.1728,17.29,20,88,0.68,LY,1736703714
227,pandan,14.0453,124.1694,24.98,90,100,8.85,PH,1736703715
228,lospalos,-8.5186,127.0025,22.99,94,100,1.26,TL,1736703716
229,merizo village,13.2658,144.6691,26.34,88,41,6.62,GU,1736703717
230,smithers,54.7804,-127.1743,-2.82,100,100,2.06,CA,1736703718
231,colonia,50.9333,6.95,2.13,87,100,1.54,DE,1736703719
232,tra vinh,9.9347,106.3453,21.1,90,72,0.84,VN,1736703721
233,magadan,59.5667,150.8,-26.44,80,15,2.97,RU,1736703722
234,nabire,-3.3667,135.4833,24.19,93,100,1.26,ID,1736703723
235,as sulayyil,20.4607,45.5779,20.3,32,25,5.24,SA,1736703724
236,gondal,21.9667,70.8,18.91,39,0,5.98,IN,1736703725
237,saipan,15.1355,145.701,27.03,83,0,6.17,MP,1736703726
238,east london,-33.0153,27.9116,17.52,100,100,1.54,ZA,1736703727
239,pontian kechil,1.4866,103.3896,24.24,94,100,4.5,MY,1736703729
240,richards bay,-28.783,32.0377,24.31,72,100,4.49,ZA,1736703730
241,coromandel,-18.4733,-47.2003,27.52,59,26,2.24,BR,1736703731
242,axim,4.8699,-2.2405,27.96,73,37,4.12,GH,1736703732
243,hasaki,35.7333,140.8333,7.24,77,100,6.7,JP,1736703733
244,nagqu,31.5,92.0,-7.0,29,100,0.95,CN,1736703734
245,alaghsas,17.0187,8.0168,23.94,16,0,6.17,NE,1736703736
246,selfoss,63.9331,-20.9971,3.91,99,100,5.78,IS,1736703737
247,bismarck,46.8083,-100.7837,-16.4,70,0,7.72,US,1736703655
248,silver city,32.7701,-108.2803,3.15,34,1,1.79,US,1736703545
249,sitka,57.0531,-135.33,3.94,81,0,3.09,US,1736703741
250,khovd,48.0056,91.6419,-15.53,87,100,1.76,MN,1736703742
251,arkhangel'sk,64.5401,40.5433,-16.94,92,20,1.0,RU,1736703743
252,yarkovo,57.4028,67.0786,-7.13,93,92,3.6,RU,1736703744
253,kurara,25.9833,79.9833,13.71,65,0,2.75,IN,1736703745
254,hafnarfjordur,64.0671,-21.9377,3.93,93,100,4.63,IS,1736703746
255,bredasdorp,-34.5322,20.0403,17.82,70,100,6.03,ZA,1736703748
256,witbank,-25.8713,29.2332,18.95,81,99,2.52,ZA,1736703749
257,zhuanghe,39.7008,122.9911,-5.47,40,15,0.95,CN,1736703750
258,muisne,0.6,-80.0333,25.66,82,100,3.55,EC,1736703751
259,zharkent,44.1628,80.0,-8.71,77,1,1.4,KZ,1736703752
260,paracuru,-3.41,-39.0306,29.96,63,29,4.61,BR,1736703753
261,kernersville,36.1199,-80.0736,2.75,53,20,3.09,US,1736703542
262,gillette,44.2911,-105.5022,-6.5,87,100,5.66,US,1736703755
263,haparanda,65.8355,24.1368,-5.97,91,78,3.33,SE,1736703757
264,douentza,14.9951,-2.9517,24.48,15,100,2.62,ML,1736703758
265,santos reyes nopala,16.1092,-97.1561,22.65,54,75,1.71,MX,1736703759
266,carnarvon,-24.8667,113.6333,25.13,69,1,9.45,AU,1736703760
267,nuuk,64.1835,-51.7216,-9.66,67,0,12.86,GL,1736703761
268,wewak,-3.5534,143.6268,25.65,87,99,1.99,PG,1736703762
269,correntina,-13.3433,-44.6367,28.07,71,82,0.27,BR,1736703763
270,kingaroy,-26.5333,151.8333,17.59,95,68,1.22,AU,1736703765
271,remire-montjoly,4.9167,-52.2667,30.02,70,75,6.17,GF,1736703766
272,kassiri,8.9372,-13.1244,28.67,45,100,3.79,SL,1736703767
273,la foa,-21.7108,165.8276,23.09,73,17,1.56,NC,1736703768
274,thompson,55.7435,-97.8558,-21.91,77,75,3.6,CA,1736703769
275,harstad,68.799,16.5293,-1.03,97,100,3.64,NO,1736703770
276,george town,5.4112,100.3354,23.94,77,20,5.36,MY,1736703761
277,vila franca do campo,37.7167,-25.4333,18.27,99,80,2.82,PT,1736703773
278,puerto carreno,6.189,-67.4859,33.99,43,0,5.14,CO,1736703774
279,mirpur sakro,24.5474,67.6277,18.11,18,0,5.26,PK,1736703775
280,hungnam,39.8317,127.6186,-4.56,55,0,3.22,KP,1736703776
